COLL,COURSE,CRED,CREDagg,CRN,CRNagg,DELIVERY,PROFS,ROOM,TERM,TIMEBLOCK,TITLE
AR,ANTH 111:11,3,3,57420,57420,In-Person,"Haller, Mikael",MULH4030,1ST,E6,Intro to Physical Anth/Arch
AR,ANTH 111:12,3,3,57803,57803,In-Person,"Bower, Megan",MULH2032,1ST,X7/X8,Intro to Physical Anth/Arch
AR,ANTH 111:20,3,3,57419,57419,In-Person,"Beaulieu, Terry",MULH4032,2ND,X1/X2,Intro to Physical Anth/Arch
AR,ANTH 112:11,3,3,57422,57422,In-Person,"Bower, Megan",MULH2032,1ST,X1/X2,Socio-Cultural Anthropology
AR,ANTH 112:12,3,3,58434,58434,In-Person,"Alam, Rashedul",MULH2030,1ST,E5,Socio-Cultural Anthropology
AR,ANTH 112:21,3,3,57421,57421,In-Person,"Alam, Rashedul",MULH2032,2ND,E6,Socio-Cultural Anthropology
AR,ANTH 112:22J,3,3,54064,54064,In-Person,"Bower, Megan",BB337,2ND,Z7/Z8,Socio-Cultural Anthropology
AR,ANTH 218:20,3,3,57707,57707,In-Person,"Holmes, Christina",MULH3032,2ND,U7/U8,Anthro of Health & Illness
AR,ANTH 233:20,3,3,58433,58433,In-Person,"Alam, Rashedul",MULH3024,2ND,W7/W8,Ethnographic Studies
AR,ANTH 234:10,3,3,57423,57423,In-Person,"Beaulieu, Terry",MULH3034,1ST,X4/X5,Intro Indigenous Anthropology
AR,ANTH 243:10,3,3,58428,58428,In-Person,"Haller, Mikael",MULH3024,1ST,Z4/Z5,Arch. & Prehistoric Societies
AR,ANTH 299:20,3,3,58431,58431,In-Person,"Beaulieu, Terry",MULH3026,2ND,O4/O5,"ST: Frauds, Myths, & Mysteries"
AR,ANTH 303:10,3,3,57424,57424,In-Person,"Alam, Rashedul",BB236,1ST,W7/W8,Anthropological Theory
AR,ANTH 304:20,3,3,57425,57425,In-Person,"Bower, Megan",BB337,2ND,E5,Principles & Meth of Fieldwork
AR,ANTH 305:10,3,3,55335,55335,In-Person,"Beaulieu, Terry",MULH3034,1ST,O4/O5,Anthropological Data Analysis
AR,ANTH 310:20,3,3,58430,58430,In-Person,"Haller, Mikael",MULH3022,2ND,Z4/Z5,Anthropology of Tourism
AR,ANTH 320:20,3,3,57426,57426,In-Person,"Alam, Rashedul",AX124,2ND,U4/U5,People and Development
AR,ANTH 321:20,3,3,58849,58849,In-Person,"Linkletter, Michael",IM201,2ND,O4/O5,Celtic Art
AR,ANTH 323:10,3,3,57432,57432,In-Person,"Bower, Megan",BB236,1ST,E6,Feminist Anthropology
AR,ANTH 326:10,3,3,58435,58435,In-Person,"Alam, Rashedul",CO242,1ST,W1/W2,Anthropology of Kinship
AR,ANTH 342:10,3,3,58429,58429,In-Person,"Haller, Mikael",MULH4032,1ST,Z7/Z8,Ancient Mesoamerica
AR,ANTH 400:00,6,6,48380,48380,In-Person,"McMillan, Leslie (Jane)",,FULL,TBA,Honours Sem & Thesis Research
AR,ANTH 445:20,3,3,57428,57428,In-Person,"Haller, Mikael",SCHW190,2ND,Z7/Z8,Adv Archaeological Seminar
AR,ANTH 455:20,3,3,58432,58432,In-Person,"Bower, Megan",BB337,2ND,E6,ANTH Theory in Action
AR,APEX 100:10,0,0,45147,45147,In-Person,"Leeming, Mark",,FULL,TBA,Academic Program of Excellence
AR,APEX 100:20,0,0,55240,55240,In-Person,"Leeming, Mark",,2ND,TBA,Academic Program of Excellence
AR,APEX 200:00,0,0,46405,46405,In-Person,"Leeming, Mark",,FULL,TBA,Acad. Program of Excellence II
SC,AQUA 101:10,3,3,56221,56221,In-Person,"Penney, Heather",NFSC3046,1ST,B1/B2/B3,Intro Freshwater
SC,AQUA 101L:10,0,0,56222,56222,In-Person,"Penney, Heather",MULH3022,1ST,W7,AQUA 101 Lab
SC,AQUA 102:20,3,3,56223,56223,In-Person,"MacDonnell, Mallory",NFSC3046,2ND,B1/B2/B3,Intro Ocean Resources
SC,AQUA 102L:20,0,0,56224,56224,In-Person,"MacDonnell, Mallory",MULH3022,2ND,W7,AQUA 102 Lab
SC,AQUA 202:20,3,3,57796,57796,In-Person,"Harling Stalker, L (Lynda)",AX124,2ND,Z1/Z2,The Ocean's Commons & Society
SC,AQUA 221:10,3,3,58809,58809,In-Person,"MacDonnell, Mallory",BB236,1ST,E7,Issues in Resource Management
SC,AQUA 297:20,3,3,57655,57655,In-Person,"Schumacher, Matthew",SCHW252,2ND,Z7/Z8,ST: Intro to Mapping and GIS
SC,AQUA 297L:20,0,0,57732,57732,In-Person,"Schumacher, Matthew",SCHW252,2ND,E7,AQUA 297 Lab
SC,AQUA 298:10,3,3,56881,56881,In-Person,"MacDonnell, Mallory",CO110,1ST,U4/U5,ST: Managing Water & UN SDGs
SC,AQUA 398:20,3,3,58474,58474,In-Person,"Penney, Heather",NFSC3046,2ND,K4/K5/K6,ST: Sustainability of Aqua
SC,AQUA 398L:20,0,0,58475,58475,In-Person,"Penney, Heather",BB305,2ND,U2/Z2,AQUA 398 Lab
SC,AQUA 400:10,3,3,47255,47255,In-Person,"Penney, Heather",,1ST,TBA,Work Exper/Student Internship
SC,AQUA 450:00,3,3,51095,51095,In-Person,"Garbary, David; Penney, Heather",BB305,FULL,E5,Sen Seminar Aquatic Resources
AR,ART 101:11,3,3,53493,53493,In-Person,"MacLean, Andy",IM002,1ST,E5,Introduction to Drawing I
AR,ART 101:12,3,3,53494,53494,In-Person,"Tragakis, Adam",IM002,1ST,E4,Introduction to Drawing I
AR,ART 101:13,3,3,53495,53495,In-Person,"Tragakis, Adam",IM002,1ST,E7,Introduction to Drawing I
AR,ART 101:14,3,3,53496,53496,In-Person,"MacLean, Andy",IM002,1ST,E6,Introduction to Drawing I
